time	V(ctle_out)	V(n_3p)
1.106167550223159e-009	1.363969e-003	5.396282e-003
1.107301060267802e-009	1.624065e-003	5.477843e-003
1.108434570312446e-009	1.880941e-003	5.496753e-003
1.109794782366018e-009	2.166825e-003	5.394411e-003
1.111154994419590e-009	2.408947e-003	5.193227e-003
1.112515206473162e-009	2.607307e-003	4.893202e-003
1.113875418526734e-009	2.761906e-003	4.494334e-003
1.115235630580306e-009	2.872742e-003	3.996625e-003
1.116595842633878e-009	2.939817e-003	3.400074e-003
1.117956054687451e-009	2.963130e-003	2.704681e-003
1.118461774553522e-009	2.953963e-003	2.432987e-003
1.118967494419594e-009	2.937132e-003	2.154432e-003
1.119473214285665e-009	2.912637e-003	1.869017e-003
1.119978934151737e-009	2.880477e-003	1.576742e-003
1.120484654017809e-009	2.840654e-003	1.277608e-003
1.120990373883881e-009	2.793167e-003	9.716129e-004
1.121496093749952e-009	2.738016e-003	6.587580e-004
1.121618164062452e-009	2.723586e-003	5.830227e-004
1.122472656249953e-009	2.608156e-003	3.769740e-005
1.123327148437453e-009	2.474094e-003	-5.061861e-004
1.124181640624954e-009	2.321402e-003	-1.048628e-003
1.125036132812454e-009	2.150079e-003	-1.589628e-003
1.125890624999954e-009	1.960125e-003	-2.129186e-003
1.126745117187455e-009	1.751540e-003	-2.667303e-003
1.127599609374955e-009	1.524325e-003	-3.203978e-003
1.128733119419599e-009	1.194421e-003	-3.896036e-003
1.129866629464242e-009	8.518201e-004	-4.542645e-003
1.131000139508886e-009	4.965213e-004	-5.143806e-003
1.132133649553529e-009	1.285250e-004	-5.699517e-003
1.133267159598172e-009	-2.521689e-004	-6.209779e-003
1.134400669642816e-009	-6.455604e-004	-6.674593e-003
1.135534179687459e-009	-1.051649e-003	-7.093958e-003
1.136824637276746e-009	-1.513751e-003	-7.486611e-003
1.138115094866032e-009	-1.955617e-003	-7.795417e-003
1.139405552455318e-009	-2.377248e-003	-8.020375e-003
1.140696010044605e-009	-2.778644e-003	-8.161485e-003
1.141986467633891e-009	-3.159805e-003	-8.218747e-003
1.143276925223177e-009	-3.520731e-003	-8.192161e-003
1.144567382812464e-009	-3.861421e-003	-8.081728e-003
1.145945033482107e-009	-4.178209e-003	-7.855885e-003
1.147322684151751e-009	-4.445053e-003	-7.561141e-003
1.148700334821395e-009	-4.661954e-003	-7.197495e-003
1.150077985491038e-009	-4.828912e-003	-6.764948e-003
1.151455636160681e-009	-4.945925e-003	-6.263500e-003
1.152833286830325e-009	-5.012996e-003	-5.693150e-003
1.154210937499969e-009	-5.030123e-003	-5.053899e-003
1.155204938616040e-009	-5.004884e-003	-4.574784e-003
1.156198939732112e-009	-4.956631e-003	-4.097618e-003
1.157192940848184e-009	-4.885362e-003	-3.622401e-003
1.158186941964256e-009	-4.791079e-003	-3.149132e-003
1.159180943080328e-009	-4.673780e-003	-2.677813e-003
1.160174944196400e-009	-4.533467e-003	-2.208442e-003
1.161168945312472e-009	-4.370139e-003	-1.741020e-003
1.162285016741044e-009	-4.161648e-003	-1.245134e-003
1.163401088169616e-009	-3.943811e-003	-7.948258e-004
1.164517159598188e-009	-3.716628e-003	-3.900963e-004
1.165633231026760e-009	-3.480098e-003	-3.094505e-005
1.166749302455332e-009	-3.234222e-003	2.826278e-004
1.167865373883904e-009	-2.979000e-003	5.506224e-004
1.168981445312476e-009	-2.714431e-003	7.730387e-004
1.170080078124977e-009	-2.460391e-003	9.209924e-004
