time	V(sum)
6.635122070312457e-010	1.706222e-002
6.636342773437457e-010	1.702360e-002
6.637563476562456e-010	1.698428e-002
6.638784179687456e-010	1.694426e-002
6.640004882812456e-010	1.690356e-002
6.641225585937455e-010	1.686219e-002
6.642446289062455e-010	1.682018e-002
6.643666992187454e-010	1.677750e-002
6.644887695312454e-010	1.673412e-002
6.646108398437453e-010	1.669007e-002
6.647329101562453e-010	1.664536e-002
6.648549804687453e-010	1.660001e-002
6.649770507812452e-010	1.655403e-002
6.650991210937452e-010	1.650747e-002
6.652211914062451e-010	1.646033e-002
6.653432617187451e-010	1.641265e-002
6.654653320312450e-010	1.636442e-002
6.655874023437450e-010	1.631565e-002
6.657094726562450e-010	1.626632e-002
6.658315429687449e-010	1.621642e-002
6.659536132812449e-010	1.616599e-002
6.660756835937448e-010	1.611504e-002
6.661977539062448e-010	1.606358e-002
6.663198242187447e-010	1.601165e-002
6.664418945312447e-010	1.595928e-002
6.665639648437447e-010	1.590647e-002
6.666860351562446e-010	1.585321e-002
6.668081054687446e-010	1.579950e-002
6.669301757812445e-010	1.574535e-002
6.670522460937445e-010	1.569079e-002
6.671743164062444e-010	1.563583e-002
6.672963867187444e-010	1.558050e-002
6.674184570312444e-010	1.552483e-002
6.675405273437443e-010	1.546882e-002
6.676625976562443e-010	1.541246e-002
6.677846679687442e-010	1.535576e-002
6.679067382812442e-010	1.529872e-002
6.680288085937442e-010	1.524136e-002
6.681508789062441e-010	1.518371e-002
6.682729492187441e-010	1.512579e-002
6.683950195312440e-010	1.506762e-002
6.685170898437440e-010	1.500921e-002
6.686391601562439e-010	1.495054e-002
6.687612304687439e-010	1.489164e-002
6.688833007812439e-010	1.483250e-002
6.690053710937438e-010	1.477317e-002
6.691274414062438e-010	1.471366e-002
6.692495117187437e-010	1.465399e-002
6.693715820312437e-010	1.459417e-002
6.694936523437436e-010	1.453418e-002
6.696157226562436e-010	1.447405e-002
6.697377929687436e-010	1.441377e-002
6.698598632812435e-010	1.435338e-002
6.699819335937435e-010	1.429289e-002
6.701040039062434e-010	1.423233e-002
6.702260742187434e-010	1.417169e-002
6.703481445312433e-010	1.411098e-002
6.704702148437433e-010	1.405021e-002
6.705922851562433e-010	1.398941e-002
6.707143554687432e-010	1.392858e-002
6.708364257812432e-010	1.386775e-002
6.709584960937431e-010	1.380692e-002
6.710805664062431e-010	1.374609e-002
6.712026367187430e-010	1.368527e-002
6.713247070312430e-010	1.362449e-002
6.714467773437430e-010	1.356376e-002
6.715688476562429e-010	1.350310e-002
6.716909179687429e-010	1.344250e-002
6.718129882812428e-010	1.338198e-002
6.719350585937428e-010	1.332153e-002
6.720571289062427e-010	1.326119e-002
6.721791992187427e-010	1.320098e-002
6.723012695312427e-010	1.314089e-002
6.724233398437426e-010	1.308094e-002
6.725454101562426e-010	1.302113e-002
6.726674804687425e-010	1.296147e-002
6.727895507812425e-010	1.290197e-002
6.729116210937424e-010	1.284266e-002
6.730336914062424e-010	1.278354e-002
6.731557617187424e-010	1.272463e-002
6.732778320312423e-010	1.266591e-002
6.733999023437423e-010	1.260740e-002
6.735219726562422e-010	1.254912e-002
6.736440429687422e-010	1.249108e-002
6.737661132812422e-010	1.243330e-002
6.738881835937421e-010	1.237578e-002
6.740102539062421e-010	1.231851e-002
6.741323242187420e-010	1.226150e-002
6.742543945312420e-010	1.220478e-002
6.743764648437419e-010	1.214836e-002
6.744985351562419e-010	1.209224e-002
6.746206054687419e-010	1.203643e-002
6.747426757812418e-010	1.198093e-002
6.748647460937418e-010	1.192575e-002
6.749868164062417e-010	1.187090e-002
6.751088867187417e-010	1.181639e-002
6.752309570312416e-010	1.176225e-002
6.753530273437416e-010	1.170845e-002
6.754750976562416e-010	1.165501e-002
6.755971679687415e-010	1.160193e-002
6.757192382812415e-010	1.154922e-002
6.758413085937414e-010	1.149684e-002
6.758779296875001e-010	1.148121e-002
6.759267578124827e-010	1.146047e-002
6.759999999999999e-010	1.142942e-002
6.760073242187517e-010	1.142632e-002
6.760219726562552e-010	1.142014e-002
6.760512695312621e-010	1.140779e-002
6.761098632812759e-010	1.138319e-002
6.762270507813037e-010	1.133424e-002
